Time of Day,Activity,Age,Heart Rate,Weather,Day of Week,Recent Events,Battery Status,Sleep Score,Daily Activity,Sleep,Running,Swimming,Calories Burn,Heart Rate (show),Steps,Consumed,Weather (show),Chance of Rain,Events,Battery
Morning,Swimming,80,60,Clear,Weekday,YES,42,88,1,0,0,1,1,0,0,0,0,0,1,0
Noon,Swimming,76,32,Cold,Weekday,NO,17,49,1,1,0,1,1,1,0,0,1,0,0,1
Noon,Swimming,56,165,Rainy,Weekday,NO,63,90,1,0,0,1,1,1,0,0,1,1,0,0
Noon,Running,93,53,Rainy,Holiday,YES,45,80,1,0,1,0,1,1,1,0,1,1,1,0
Morning,Running,92,44,Cold,Weekday,NO,77,57,1,1,1,0,1,1,1,0,1,0,0,0
Noon,Swimming,44,200,Cold,Holiday,NO,7,77,1,0,0,1,1,1,0,0,1,0,0,1
Morning,Driving,77,188,Rainy,Holiday,YES,27,15,1,1,0,0,0,1,0,0,1,1,1,0
Noon,Walking,78,74,Rainy,Holiday,NO,10,27,1,1,0,0,1,0,1,0,1,1,0,1
Night,Walking,10,37,Rainy,Weekday,NO,34,68,1,0,0,0,1,1,1,0,1,1,0,0
Night,Resting,77,100,Rainy,Holiday,NO,36,80,0,0,0,0,0,0,0,1,1,1,0,0
Morning,Driving,21,137,Rainy,Holiday,NO,25,64,1,0,0,0,0,1,0,0,1,1,0,0
Night,Running,69,144,Clear,Holiday,YES,6,94,1,0,1,0,1,1,1,0,0,0,1,1
Night,Swimming,36,132,Cold,Weekday,NO,24,30,1,1,0,1,1,1,0,0,1,0,0,0
Noon,Resting,65,154,Clear,Weekday,NO,18,36,0,1,0,0,0,1,0,1,0,0,0,1
Morning,Walking,32,86,Rainy,Holiday,NO,87,67,1,0,0,0,1,0,1,0,1,1,0,0
Noon,Running,34,59,Rainy,Weekday,NO,6,86,1,0,1,0,1,1,1,0,1,1,0,1
Noon,Running,30,175,Rainy,Holiday,YES,29,86,1,0,1,0,1,1,1,0,1,1,1,0
Noon,Swimming,70,143,Clear,Holiday,NO,25,49,1,1,0,1,1,1,0,0,0,0,0,0
Noon,Walking,72,146,Clear,Weekday,YES,55,76,1,0,0,0,1,1,1,0,0,0,1,0
Noon,Driving,61,196,Rainy,Holiday,NO,81,55,1,1,0,0,0,1,0,0,1,1,0,0
Noon,Running,97,89,Clear,Weekday,YES,46,85,1,0,1,0,1,0,1,0,0,0,1,0
Noon,Swimming,34,127,Clear,Weekday,YES,24,56,1,1,0,1,1,1,0,0,0,0,1,0
Morning,Driving,64,200,Rainy,Holiday,YES,75,68,1,0,0,0,0,1,0,0,1,1,1,0
Night,Walking,55,155,Clear,Weekday,YES,26,95,1,0,0,0,1,1,1,0,0,0,1,0
Noon,Running,41,180,Cold,Weekday,YES,98,44,1,1,1,0,1,1,1,0,1,0,1,0
Noon,Driving,64,123,Cold,Holiday,NO,28,31,1,1,0,0,0,1,0,0,1,0,0,0
Noon,Driving,14,163,Cold,Holiday,NO,3,58,1,1,0,0,0,1,0,0,1,0,0,1
Noon,Driving,45,151,Cold,Weekday,NO,75,87,1,0,0,0,0,1,0,0,1,0,0,0
Noon,Running,58,137,Rainy,Weekday,YES,38,53,1,1,1,0,1,1,1,0,1,1,1,0
Noon,Running,67,33,Rainy,Holiday,NO,61,84,1,0,1,0,1,1,1,0,1,1,0,0
Night,Resting,48,122,Rainy,Weekday,YES,78,79,0,0,0,0,0,1,0,1,1,1,1,0
Night,Walking,89,180,Cold,Weekday,YES,51,23,1,1,0,0,1,1,1,0,1,0,1,0
Noon,Swimming,94,35,Cold,Weekday,NO,90,28,1,1,0,1,1,1,0,0,1,0,0,0
Night,Driving,70,61,Clear,Weekday,NO,48,16,1,1,0,0,0,0,0,0,0,0,0,0
Morning,Resting,18,135,Clear,Weekday,YES,21,37,0,1,0,0,0,1,0,0,0,0,1,0
Noon,Swimming,15,175,Cold,Weekday,YES,54,21,1,1,0,1,1,1,0,0,1,0,1,0
Morning,Resting,44,44,Cold,Weekday,NO,56,79,0,0,0,0,0,1,0,0,1,0,0,0
Morning,Running,48,197,Cold,Holiday,NO,94,17,1,1,1,0,1,1,1,0,1,0,0,0
Noon,Driving,31,151,Cold,Holiday,NO,59,37,1,1,0,0,0,1,0,0,1,0,0,0
Night,Swimming,50,125,Clear,Holiday,NO,72,77,1,0,0,1,1,1,0,0,0,0,0,0
Morning,Swimming,14,35,Cold,Holiday,YES,51,19,1,1,0,1,1,1,0,0,1,0,1,0
Noon,Swimming,51,141,Clear,Holiday,NO,20,30,1,1,0,1,1,1,0,0,0,0,0,0
Morning,Swimming,96,149,Cold,Weekday,NO,96,45,1,1,0,1,1,1,0,0,1,0,0,0
Morning,Swimming,90,152,Cold,Weekday,NO,86,18,1,1,0,1,1,1,0,0,1,0,0,0
Morning,Resting,85,96,Cold,Weekday,YES,59,78,0,0,0,0,0,0,0,0,1,0,1,0
Morning,Driving,96,135,Clear,Weekday,YES,71,62,1,0,0,0,0,1,0,0,0,0,1,0
Night,Running,89,168,Clear,Holiday,YES,9,36,1,1,1,0,1,1,1,0,0,0,1,1
Morning,Running,76,72,Rainy,Weekday,YES,1,100,1,0,1,0,1,0,1,0,1,1,1,1
Morning,Running,39,174,Cold,Weekday,NO,29,84,1,0,1,0,1,1,1,0,1,0,0,0
Morning,Running,66,125,Rainy,Holiday,YES,63,52,1,1,1,0,1,1,1,0,1,1,1,0
Night,Resting,95,161,Rainy,Weekday,NO,72,19,0,1,0,0,0,1,0,1,1,1,0,0
Morning,Walking,82,110,Clear,Weekday,NO,56,44,1,1,0,0,1,1,1,0,0,0,0,0
Morning,Driving,38,70,Clear,Holiday,NO,68,7,1,1,0,0,0,0,0,0,0,0,0,0
Night,Swimming,46,162,Rainy,Weekday,NO,35,44,1,1,0,1,1,1,0,0,1,1,0,0
Night,Walking,96,189,Cold,Weekday,YES,3,68,1,0,0,0,1,1,1,0,1,0,1,1
Night,Running,22,64,Clear,Weekday,YES,7,34,1,1,1,0,1,0,1,0,0,0,1,1
Morning,Walking,41,51,Cold,Weekday,YES,27,66,1,0,0,0,1,1,1,0,1,0,1,0
Night,Driving,55,179,Cold,Weekday,NO,1,69,1,0,0,0,0,1,0,0,1,0,0,1
Night,Swimming,32,141,Rainy,Holiday,NO,91,55,1,1,0,1,1,1,0,0,1,1,0,0
Morning,Swimming,54,40,Rainy,Holiday,NO,80,10,1,1,0,1,1,1,0,0,1,1,0,0
Night,Driving,26,32,Rainy,Holiday,NO,71,96,1,0,0,0,0,1,0,0,1,1,0,0
Morning,Driving,94,166,Rainy,Holiday,NO,44,42,1,1,0,0,0,1,0,0,1,1,0,0
Noon,Running,75,89,Clear,Holiday,YES,87,41,1,1,1,0,1,0,1,0,0,0,1,0
Night,Swimming,15,105,Clear,Holiday,NO,41,77,1,0,0,1,1,1,0,0,0,0,0,0
Noon,Walking,27,116,Rainy,Weekday,YES,75,69,1,0,0,0,1,1,1,0,1,1,1,0
Morning,Resting,31,43,Clear,Holiday,NO,42,10,0,1,0,0,0,1,0,0,0,0,0,0
Night,Resting,42,47,Rainy,Holiday,NO,33,10,0,1,0,0,0,1,0,1,1,1,0,0
Morning,Driving,39,142,Cold,Weekday,YES,50,91,1,0,0,0,0,1,0,0,1,0,1,0
Noon,Running,90,102,Cold,Weekday,YES,63,60,1,0,1,0,1,1,1,0,1,0,1,0
Morning,Resting,41,52,Cold,Holiday,NO,100,51,0,1,0,0,0,1,0,0,1,0,0,0
Night,Swimming,51,112,Rainy,Weekday,NO,37,21,1,1,0,1,1,1,0,0,1,1,0,0
Night,Driving,87,154,Cold,Holiday,NO,59,8,1,1,0,0,0,1,0,0,1,0,0,0
Noon,Walking,19,98,Clear,Weekday,NO,81,65,1,0,0,0,1,0,1,0,0,0,0,0
Morning,Driving,45,76,Cold,Holiday,YES,99,92,1,0,0,0,0,0,0,0,1,0,1,0
Night,Walking,43,145,Cold,Weekday,NO,48,78,1,0,0,0,1,1,1,0,1,0,0,0
Noon,Driving,82,59,Cold,Weekday,YES,5,85,1,0,0,0,0,1,0,0,1,0,1,1
Night,Driving,37,54,Clear,Holiday,NO,48,30,1,1,0,0,0,1,0,0,0,0,0,0
Night,Driving,20,185,Rainy,Holiday,YES,96,85,1,0,0,0,0,1,0,0,1,1,1,0
Morning,Walking,87,141,Clear,Holiday,YES,3,49,1,1,0,0,1,1,1,0,0,0,1,1
Night,Walking,48,54,Rainy,Holiday,NO,47,9,1,1,0,0,1,1,1,0,1,1,0,0
Morning,Driving,56,103,Rainy,Holiday,YES,62,17,1,1,0,0,0,1,0,0,1,1,1,0
Night,Resting,28,87,Cold,Weekday,NO,99,69,0,0,0,0,0,0,0,1,1,0,0,0
Noon,Running,24,123,Rainy,Holiday,YES,14,58,1,1,1,0,1,1,1,0,1,1,1,1
Night,Running,37,148,Clear,Holiday,NO,63,57,1,1,1,0,1,1,1,0,0,0,0,0
Morning,Running,33,156,Clear,Weekday,YES,61,62,1,0,1,0,1,1,1,0,0,0,1,0
Morning,Walking,81,198,Rainy,Weekday,NO,31,95,1,0,0,0,1,1,1,0,1,1,0,0
Noon,Walking,18,54,Cold,Holiday,NO,95,52,1,1,0,0,1,1,1,0,1,0,0,0
Night,Resting,56,107,Cold,Weekday,YES,17,61,0,0,0,0,0,1,0,1,1,0,1,1
Night,Running,42,128,Clear,Weekday,YES,24,40,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Running,71,145,Cold,Holiday,YES,23,38,1,1,1,0,1,1,1,0,1,0,1,0
Night,Driving,28,77,Rainy,Weekday,YES,82,43,1,1,0,0,0,0,0,0,1,1,1,0
Night,Walking,76,39,Rainy,Weekday,NO,50,63,1,0,0,0,1,1,1,0,1,1,0,0
Morning,Running,83,128,Clear,Holiday,YES,78,19,1,1,1,0,1,1,1,0,0,0,1,0
Night,Resting,49,40,Rainy,Holiday,NO,79,100,0,0,0,0,0,1,0,1,1,1,0,0
Night,Resting,56,114,Clear,Weekday,YES,79,50,0,1,0,0,0,1,0,1,0,0,1,0
Noon,Running,74,178,Rainy,Weekday,NO,70,33,1,1,1,0,1,1,1,0,1,1,0,0
Noon,Walking,38,164,Clear,Holiday,NO,27,13,1,1,0,0,1,1,1,0,0,0,0,0
Morning,Resting,59,155,Cold,Weekday,NO,15,78,0,0,0,0,0,1,0,0,1,0,0,1
Night,Driving,22,93,Rainy,Weekday,NO,50,97,1,0,0,0,0,0,0,0,1,1,0,0
Night,Resting,10,31,Rainy,Weekday,YES,36,62,0,0,0,0,0,1,0,1,1,1,1,0
Night,Swimming,43,105,Clear,Holiday,YES,8,93,1,0,0,1,1,1,0,0,0,0,1,1
Morning,Swimming,57,150,Clear,Weekday,NO,79,43,1,1,0,1,1,1,0,0,0,0,0,0
Morning,Walking,86,71,Rainy,Weekday,YES,3,49,1,1,0,0,1,0,1,0,1,1,1,1
Noon,Running,57,83,Clear,Holiday,YES,62,36,1,1,1,0,1,0,1,0,0,0,1,0
Morning,Walking,58,104,Rainy,Weekday,NO,47,10,1,1,0,0,1,1,1,0,1,1,0,0
Night,Walking,73,45,Cold,Weekday,YES,77,95,1,0,0,0,1,1,1,0,1,0,1,0
Night,Walking,70,47,Clear,Holiday,YES,98,6,1,1,0,0,1,1,1,0,0,0,1,0
Morning,Walking,38,119,Rainy,Holiday,YES,88,57,1,1,0,0,1,1,1,0,1,1,1,0
Night,Driving,48,173,Cold,Holiday,NO,96,1,1,1,0,0,0,1,0,0,1,0,0,0
Night,Driving,97,35,Cold,Holiday,YES,61,71,1,0,0,0,0,1,0,0,1,0,1,0
Morning,Resting,35,137,Rainy,Weekday,NO,32,58,0,1,0,0,0,1,0,0,1,1,0,0
Morning,Swimming,26,77,Clear,Weekday,YES,94,91,1,0,0,1,1,0,0,0,0,0,1,0
Night,Walking,80,71,Rainy,Holiday,YES,13,21,1,1,0,0,1,0,1,0,1,1,1,1
Night,Resting,22,105,Cold,Holiday,YES,1,92,0,0,0,0,0,1,0,1,1,0,1,1
Night,Swimming,78,106,Rainy,Weekday,NO,34,80,1,0,0,1,1,1,0,0,1,1,0,0
Noon,Running,35,161,Clear,Holiday,NO,62,56,1,1,1,0,1,1,1,0,0,0,0,0
Noon,Driving,58,159,Cold,Weekday,YES,79,87,1,0,0,0,0,1,0,0,1,0,1,0
Noon,Swimming,76,88,Rainy,Holiday,NO,78,20,1,1,0,1,1,0,0,0,1,1,0,0
Morning,Running,16,184,Clear,Weekday,YES,93,54,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Swimming,67,56,Cold,Holiday,NO,98,25,1,1,0,1,1,1,0,0,1,0,0,0
Morning,Driving,58,108,Clear,Holiday,NO,82,28,1,1,0,0,0,1,0,0,0,0,0,0
Morning,Driving,62,101,Cold,Weekday,YES,71,5,1,1,0,0,0,1,0,0,1,0,1,0
Noon,Resting,74,36,Rainy,Holiday,YES,93,21,0,1,0,0,0,1,0,1,1,1,1,0
Noon,Walking,71,140,Clear,Weekday,YES,31,18,1,1,0,0,1,1,1,0,0,0,1,0
Noon,Swimming,26,148,Cold,Weekday,YES,64,47,1,1,0,1,1,1,0,0,1,0,1,0
Night,Swimming,52,92,Clear,Weekday,NO,25,70,1,0,0,1,1,0,0,0,0,0,0,0
Noon,Running,34,153,Clear,Weekday,NO,38,57,1,1,1,0,1,1,1,0,0,0,0,0
Night,Driving,12,41,Rainy,Weekday,NO,14,93,1,0,0,0,0,1,0,0,1,1,0,1
Morning,Swimming,88,170,Clear,Holiday,YES,8,19,1,1,0,1,1,1,0,0,0,0,1,1
Night,Driving,38,72,Cold,Holiday,YES,91,97,1,0,0,0,0,0,0,0,1,0,1,0
Noon,Swimming,41,46,Cold,Weekday,NO,54,65,1,0,0,1,1,1,0,0,1,0,0,0
Morning,Resting,35,92,Cold,Holiday,YES,2,3,0,1,0,0,0,0,0,0,1,0,1,1
Morning,Walking,25,149,Cold,Weekday,NO,81,42,1,1,0,0,1,1,1,0,1,0,0,0
Morning,Swimming,34,65,Rainy,Holiday,NO,78,21,1,1,0,1,1,0,0,0,1,1,0,0
Night,Driving,63,37,Clear,Holiday,NO,89,99,1,0,0,0,0,1,0,0,0,0,0,0
Noon,Resting,37,98,Rainy,Holiday,NO,56,40,0,1,0,0,0,0,0,1,1,1,0,0
Morning,Swimming,82,119,Clear,Holiday,NO,94,67,1,0,0,1,1,1,0,0,0,0,0,0
Morning,Running,65,65,Clear,Weekday,YES,93,25,1,1,1,0,1,0,1,0,0,0,1,0
Morning,Walking,74,57,Clear,Weekday,YES,84,55,1,1,0,0,1,1,1,0,0,0,1,0
Night,Swimming,95,147,Rainy,Holiday,YES,85,84,1,0,0,1,1,1,0,0,1,1,1,0
Night,Resting,89,122,Clear,Holiday,NO,61,52,0,1,0,0,0,1,0,1,0,0,0,0
Noon,Running,50,105,Rainy,Weekday,NO,22,44,1,1,1,0,1,1,1,0,1,1,0,0
Night,Resting,60,130,Cold,Holiday,NO,35,98,0,0,0,0,0,1,0,1,1,0,0,0
Morning,Resting,80,187,Cold,Weekday,NO,16,85,0,0,0,0,0,1,0,0,1,0,0,1
Noon,Running,87,180,Clear,Weekday,YES,50,56,1,1,1,0,1,1,1,0,0,0,1,0
Morning,Resting,38,173,Rainy,Weekday,YES,43,55,0,1,0,0,0,1,0,0,1,1,1,0
Morning,Running,92,43,Cold,Holiday,NO,17,87,1,0,1,0,1,1,1,0,1,0,0,1
Night,Swimming,28,100,Rainy,Weekday,NO,80,70,1,0,0,1,1,0,0,0,1,1,0,0
Noon,Running,75,153,Rainy,Holiday,NO,58,77,1,0,1,0,1,1,1,0,1,1,0,0
Night,Running,50,154,Clear,Weekday,YES,2,87,1,0,1,0,1,1,1,0,0,0,1,1
Night,Walking,54,66,Cold,Holiday,YES,4,73,1,0,0,0,1,0,1,0,1,0,1,1
Noon,Running,24,58,Clear,Holiday,YES,85,81,1,0,1,0,1,1,1,0,0,0,1,0
Morning,Running,12,172,Clear,Holiday,NO,39,66,1,0,1,0,1,1,1,0,0,0,0,0
Morning,Swimming,20,48,Cold,Weekday,NO,98,19,1,1,0,1,1,1,0,0,1,0,0,0
Noon,Walking,62,135,Cold,Weekday,YES,94,83,1,0,0,0,1,1,1,0,1,0,1,0
Morning,Driving,55,50,Rainy,Holiday,NO,6,7,1,1,0,0,0,1,0,0,1,1,0,1
Noon,Swimming,39,93,Cold,Holiday,YES,81,63,1,0,0,1,1,0,0,0,1,0,1,0
Noon,Swimming,66,194,Rainy,Holiday,NO,89,42,1,1,0,1,1,1,0,0,1,1,0,0
Night,Driving,27,56,Rainy,Weekday,YES,69,42,1,1,0,0,0,1,0,0,1,1,1,0
Noon,Running,60,84,Rainy,Weekday,NO,69,59,1,1,1,0,1,0,1,0,1,1,0,0
Night,Resting,57,58,Cold,Weekday,YES,20,20,0,1,0,0,0,1,0,1,1,0,1,0
Morning,Walking,75,177,Clear,Weekday,YES,64,73,1,0,0,0,1,1,1,0,0,0,1,0
Morning,Resting,17,54,Rainy,Holiday,YES,16,17,0,1,0,0,0,1,0,0,1,1,1,1
Morning,Driving,31,99,Clear,Holiday,YES,51,27,1,1,0,0,0,0,0,0,0,0,1,0
Morning,Swimming,15,92,Clear,Weekday,YES,37,47,1,1,0,1,1,0,0,0,0,0,1,0
Night,Swimming,85,193,Cold,Weekday,YES,73,2,1,1,0,1,1,1,0,0,1,0,1,0
Morning,Walking,66,159,Clear,Holiday,NO,69,63,1,0,0,0,1,1,1,0,0,0,0,0
Noon,Swimming,45,179,Clear,Weekday,NO,42,62,1,0,0,1,1,1,0,0,0,0,0,0
Noon,Swimming,88,45,Cold,Weekday,NO,57,100,1,0,0,1,1,1,0,0,1,0,0,0
Noon,Walking,66,175,Rainy,Weekday,YES,66,19,1,1,0,0,1,1,1,0,1,1,1,0
Night,Walking,58,129,Clear,Weekday,YES,9,17,1,1,0,0,1,1,1,0,0,0,1,1
Morning,Driving,54,59,Cold,Weekday,NO,100,69,1,0,0,0,0,1,0,0,1,0,0,0
Morning,Swimming,91,74,Clear,Weekday,YES,86,39,1,1,0,1,1,0,0,0,0,0,1,0
Morning,Swimming,75,48,Clear,Holiday,YES,64,82,1,0,0,1,1,1,0,0,0,0,1,0
Night,Driving,86,63,Rainy,Weekday,YES,86,71,1,0,0,0,0,0,0,0,1,1,1,0
Noon,Running,54,170,Clear,Weekday,YES,22,81,1,0,1,0,1,1,1,0,0,0,1,0
Noon,Running,88,200,Cold,Holiday,YES,34,39,1,1,1,0,1,1,1,0,1,0,1,0
Morning,Running,29,91,Clear,Holiday,NO,55,36,1,1,1,0,1,0,1,0,0,0,0,0
Noon,Driving,73,147,Rainy,Holiday,NO,29,40,1,1,0,0,0,1,0,0,1,1,0,0
Noon,Swimming,76,129,Rainy,Weekday,NO,38,45,1,1,0,1,1,1,0,0,1,1,0,0
Night,Driving,92,51,Cold,Holiday,NO,97,4,1,1,0,0,0,1,0,0,1,0,0,0
Night,Driving,12,140,Rainy,Weekday,NO,18,25,1,1,0,0,0,1,0,0,1,1,0,1
Night,Running,63,193,Clear,Weekday,YES,71,69,1,0,1,0,1,1,1,0,0,0,1,0
Night,Resting,87,102,Rainy,Weekday,YES,65,30,0,1,0,0,0,1,0,1,1,1,1,0
Morning,Swimming,73,176,Cold,Holiday,YES,97,76,1,0,0,1,1,1,0,0,1,0,1,0
Night,Running,49,67,Rainy,Holiday,YES,1,68,1,0,1,0,1,0,1,0,1,1,1,1
Noon,Resting,68,99,Rainy,Holiday,NO,88,88,0,0,0,0,0,0,0,1,1,1,0,0
Morning,Resting,64,145,Rainy,Holiday,NO,4,29,0,1,0,0,0,1,0,0,1,1,0,1
Noon,Walking,71,108,Cold,Holiday,NO,4,73,1,0,0,0,1,1,1,0,1,0,0,1
Noon,Swimming,13,177,Rainy,Weekday,YES,82,68,1,0,0,1,1,1,0,0,1,1,1,0
Noon,Resting,69,38,Rainy,Weekday,NO,27,51,0,1,0,0,0,1,0,1,1,1,0,0
Night,Running,84,61,Clear,Weekday,YES,43,24,1,1,1,0,1,0,1,0,0,0,1,0
Night,Walking,100,161,Cold,Weekday,NO,59,14,1,1,0,0,1,1,1,0,1,0,0,0
Morning,Swimming,39,79,Rainy,Holiday,NO,32,69,1,0,0,1,1,0,0,0,1,1,0,0
Morning,Driving,11,111,Cold,Holiday,YES,33,18,1,1,0,0,0,1,0,0,1,0,1,0
Night,Running,71,34,Rainy,Weekday,YES,28,42,1,1,1,0,1,1,1,0,1,1,1,0
Noon,Resting,58,177,Rainy,Holiday,NO,55,57,0,1,0,0,0,1,0,1,1,1,0,0
Morning,Resting,18,116,Rainy,Holiday,NO,100,83,0,0,0,0,0,1,0,0,1,1,0,0
Night,Running,40,155,Clear,Weekday,YES,60,12,1,1,1,0,1,1,1,0,0,0,1,0
Night,Resting,70,104,Clear,Weekday,NO,70,82,0,0,0,0,0,1,0,1,0,0,0,0
Night,Walking,88,194,Clear,Holiday,NO,62,17,1,1,0,0,1,1,1,0,0,0,0,0
Noon,Swimming,57,51,Cold,Holiday,YES,80,30,1,1,0,1,1,1,0,0,1,0,1,0
Night,Walking,34,97,Cold,Weekday,NO,34,88,1,0,0,0,1,0,1,0,1,0,0,0
Night,Resting,45,73,Clear,Weekday,YES,87,75,0,0,0,0,0,0,0,1,0,0,1,0
Night,Driving,17,63,Cold,Weekday,NO,88,99,1,0,0,0,0,0,0,0,1,0,0,0
Night,Swimming,82,106,Rainy,Holiday,YES,56,23,1,1,0,1,1,1,0,0,1,1,1,0
Morning,Swimming,67,71,Rainy,Weekday,NO,13,81,1,0,0,1,1,0,0,0,1,1,0,1
Morning,Running,54,166,Rainy,Weekday,YES,56,1,1,1,1,0,1,1,1,0,1,1,1,0
Night,Running,71,135,Clear,Holiday,NO,18,79,1,0,1,0,1,1,1,0,0,0,0,1
Noon,Driving,48,124,Cold,Holiday,YES,54,32,1,1,0,0,0,1,0,0,1,0,1,0
Morning,Swimming,67,164,Clear,Holiday,NO,77,9,1,1,0,1,1,1,0,0,0,0,0,0
Night,Driving,90,97,Cold,Holiday,NO,43,15,1,1,0,0,0,0,0,0,1,0,0,0
Morning,Running,92,176,Rainy,Holiday,NO,39,28,1,1,1,0,1,1,1,0,1,1,0,0
Morning,Running,73,188,Clear,Weekday,NO,61,24,1,1,1,0,1,1,1,0,0,0,0,0
Noon,Swimming,53,157,Cold,Weekday,NO,42,60,1,0,0,1,1,1,0,0,1,0,0,0
Night,Walking,38,192,Cold,Holiday,NO,81,35,1,1,0,0,1,1,1,0,1,0,0,0
Night,Resting,68,114,Rainy,Holiday,NO,79,86,0,0,0,0,0,1,0,1,1,1,0,0
